
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[01:05:07.080 --> 01:05:08.960]   And then I think we found like the right person, right?
[01:05:08.960 --> 01:05:11.040]   A second friend like Graham's amazing
[01:05:11.040 --> 01:05:13.040]   and who we brought on was our VP of sales.
[01:05:13.040 --> 01:05:14.760]   That just has to be part of the nature
[01:05:14.760 --> 01:05:17.520]   and doesn't stop now, like just because we have a VP of sales
[01:05:17.520 --> 01:05:19.280]   and people dedicated to sales.
[01:05:19.280 --> 01:05:22.040]   It doesn't stop that we can't be involved
[01:05:22.040 --> 01:05:23.600]   or like engineering can't be involved, right?
[01:05:23.600 --> 01:05:25.800]   Like we have lots of people like,
[01:05:25.800 --> 01:05:27.640]   we hire plenty of deployed engineers, right?
[01:05:27.640 --> 01:05:29.400]   These are people like, you know, I think like Palantir
[01:05:29.400 --> 01:05:31.160]   kind of made the story of the players.
[01:05:31.160 --> 01:05:32.000]   - They're like deployed engineers.
[01:05:32.000 --> 01:05:33.920]   - Like deployed engineers like worked very, very closely
[01:05:33.920 --> 01:05:35.840]   with the sales team on very technical aspects
[01:05:35.840 --> 01:05:37.400]   because they can also understand like,
[01:05:37.400 --> 01:05:39.240]   what are people trying to do with AI?
[01:05:39.240 --> 01:05:41.280]   - As in, they work at podium as deployed engineers.
[01:05:41.280 --> 01:05:42.360]   - Yeah. - Okay.
[01:05:42.360 --> 01:05:44.800]   - And they partner with our account executives
[01:05:44.800 --> 01:05:46.680]   to like make our customers successful
[01:05:46.680 --> 01:05:48.480]   and like learn what is it that people
[01:05:48.480 --> 01:05:50.240]   are actually getting value with AI, right?
[01:05:50.240 --> 01:05:52.440]   And like that's information that we keep on collating
[01:05:52.440 --> 01:05:55.040]   and it's like, we will both jump into any deal cycle
[01:05:55.040 --> 01:05:58.520]   just to learn more because that's how we're gonna just
[01:05:58.520 --> 01:06:00.000]   keep on building like the best product.
[01:06:00.000 --> 01:06:02.640]   It comes back to the same, like just care, I don't know.
[01:06:02.640 --> 01:06:04.640]   And hopefully we build the right thing.
[01:06:04.640 --> 01:06:05.480]   - Cool, guys.
[01:06:05.480 --> 01:06:06.560]   Thank you for the time.
[01:06:06.560 --> 01:06:08.480]   It's good to have you back on the pub.
[01:06:08.480 --> 01:06:09.520]   - Yeah, thanks so for having us.
[01:06:09.520 --> 01:06:11.200]   - Hopefully in a year we can do another one.
[01:06:11.200 --> 01:06:12.680]   - Yeah, you'll be 10 billion by then.
[01:06:12.680 --> 01:06:13.760]   - Yeah, exactly.
[01:06:13.760 --> 01:06:16.000]   - At this rate, the next year.
[01:06:16.000 --> 01:06:17.360]   - We try not thinking about that.
[01:06:17.360 --> 01:06:18.720]   - Try to not be a zero building company.
[01:06:18.720 --> 01:06:20.760]   - That's, well, well, there's that.
[01:06:20.760 --> 01:06:21.600]   Yeah.
[01:06:21.600 --> 01:06:22.440]   - All right, cool. - That's it.
[01:06:22.440 --> 01:06:23.280]   - All right, awesome.
[01:06:23.280 --> 01:06:25.860]   (upbeat music)
[01:06:25.860 --> 01:06:28.440]   (upbeat music)
[01:06:28.440 --> 01:06:31.020]   (upbeat music)
[01:06:31.020 --> 01:06:33.600]   (upbeat music)
[01:06:33.600 --> 01:06:36.180]   (upbeat music)

